  paso  operaciones     tiempo   ns/operacion         suma
     1     33554432    49.6 ms        1.48 ns    100663296
     2     16777216    28.0 ms        1.67 ns     67108864
     4      8388608    25.8 ms        3.07 ns     50331648
     8      4194304    25.4 ms        6.06 ns     41943040
    16      2097152    20.1 ms        9.59 ns     37748736
    32      1048576    23.8 ms       22.74 ns     35651584
    64       524288     9.6 ms       18.32 ns     34603008
   128       262144     7.9 ms       30.11 ns     34078720
   256       131072     3.7 ms       28.57 ns     33816576
   512        65536     2.4 ms       36.73 ns     33685504
  1024        32768     1.1 ms       32.14 ns     33619968
